name,description,module,path
"quick-spec","Very quick process to create implementation-ready quick specs for small changes or features. Use when the user says ""create a quick spec"" or ""generate a quick tech spec""","gds","_bmad/gds/workflows/gds-quick-flow/gds-quick-spec/workflow.md"
"bmad-teach-me-testing","Teach testing progressively through structured sessions. Use when user says ""lets learn testing"" or ""I want to study test practices""","tea","_bmad/tea/workflows/testarch/bmad-teach-me-testing/workflow.md"
"bmad-testarch-atdd","Generate failing acceptance tests using TDD cycle. Use when the user says ""lets write acceptance tests"" or ""I want to do ATDD""","tea","_bmad/tea/workflows/testarch/bmad-testarch-atdd/workflow.yaml"
"bmad-testarch-automate","Expand test automation coverage for codebase. Use when the user says ""lets expand test coverage"" or ""I want to automate tests""","tea","_bmad/tea/workflows/testarch/bmad-testarch-automate/workflow.yaml"
"bmad-testarch-ci","Scaffold CI/CD quality pipeline with test execution. Use when the user says ""lets setup CI pipeline"" or ""I want to create quality gates""","tea","_bmad/tea/workflows/testarch/bmad-testarch-ci/workflow.yaml"
"bmad-testarch-framework","Initialize test framework with Playwright or Cypress. Use when the user says ""lets setup test framework"" or ""I want to initialize testing framework""","tea","_bmad/tea/workflows/testarch/bmad-testarch-framework/workflow.yaml"
"bmad-testarch-nfr","Assess NFRs like performance security and reliability. Use when the user says ""lets assess NFRs"" or ""I want to evaluate non-functional requirements""","tea","_bmad/tea/workflows/testarch/bmad-testarch-nfr/workflow.yaml"
"bmad-testarch-test-design","Create system-level or epic-level test plans. Use when the user says ""lets design test plan"" or ""I want to create test strategy""","tea","_bmad/tea/workflows/testarch/bmad-testarch-test-design/workflow.yaml"
"bmad-testarch-test-review","Review test quality using best practices validation. Use when the user says ""lets review tests"" or ""I want to evaluate test quality""","tea","_bmad/tea/workflows/testarch/bmad-testarch-test-review/workflow.yaml"
"bmad-testarch-trace","Generate traceability matrix and quality gate decision. Use when the user says ""lets create traceability matrix"" or ""I want to analyze test coverage""","tea","_bmad/tea/workflows/testarch/bmad-testarch-trace/workflow.yaml"
